date,cct
2015-07-01 09:00:00,5310.153465566527
2015-07-02 09:30:00,5318.031730754957
2015-07-03 05:30:00,3627.352616205663
2015-07-03 08:00:00,5085.856573224024
2015-07-03 08:30:00,5174.787692536464
2015-07-03 14:00:00,5242.586272154311
2015-07-04 06:30:00,4540.874158282957
2015-07-04 07:00:00,4811.639765947212
2015-07-04 07:30:00,4976.907313423064
2015-07-04 08:00:00,5078.770117759223
2015-07-04 09:30:00,5256.576615547047
2015-07-05 08:00:00,5108.640581159281
2015-07-10 06:30:00,4998.684746021127
2015-07-10 07:00:00,5168.710622418576
2015-07-10 07:30:00,5274.763696279634
2015-07-10 08:00:00,5357.545741332155
2015-07-11 05:30:00,4071.089373492049
2015-07-11 07:30:00,5264.515797744756
2015-07-11 08:00:00,5341.793732675606
2015-07-11 08:30:00,5404.282904741014
2015-07-11 09:00:00,5450.3274221606325
2015-07-12 06:30:00,4938.077918031161
2015-07-15 06:30:00,4905.687906486086
2015-07-15 07:00:00,5105.138905656597
2015-07-15 08:00:00,5333.409455655314
2015-07-16 05:30:00,3899.1795108980546
2015-07-16 06:00:00,4533.609375969546
2015-07-16 06:30:00,4867.019660447936
2015-07-16 07:00:00,5074.972541911392
2015-07-16 07:30:00,5208.906903999413
2015-07-16 08:00:00,5295.334451733692
2015-07-16 09:30:00,5446.105083946366
2015-07-16 13:30:00,5468.878170766175
2015-07-17 09:30:00,5422.466557094966
2015-07-18 05:30:00,3828.107997238654
2015-07-18 10:00:00,5477.17489207983
2015-07-19 05:30:00,3734.81139630476
2015-07-20 08:30:00,5361.695175009804
2015-07-20 09:00:00,5405.794795582081
2015-07-20 09:30:00,5449.552958408023
2015-07-22 06:00:00,4459.925743122449
2015-07-22 07:00:00,5049.988568677204
2015-07-23 06:00:00,4538.964995160873
2015-07-23 06:30:00,4893.441200331927
2015-07-23 07:00:00,5096.174417361038
2015-07-23 08:00:00,5331.1207815673
2015-07-23 12:30:00,5506.377840013606
2015-07-23 13:00:00,5518.360212688467
2015-07-24 05:30:00,3712.9889126359044
2015-07-25 06:00:00,4532.544646574492
2015-07-25 06:30:00,4897.018583479732
2015-07-25 07:00:00,5109.586964085953
2015-07-25 07:30:00,5240.217017189871
2015-07-25 08:00:00,5332.707463644995
2015-07-25 08:30:00,5394.539553770777
2015-07-25 09:30:00,5462.738417757868
2015-07-25 10:00:00,5471.386890071175
2015-07-25 10:30:00,5465.326202863219
2015-07-25 13:00:00,5514.382344088958
2015-07-25 13:30:00,5465.595908596913
2015-07-26 08:00:00,5293.712158064793
2015-07-26 09:00:00,5409.490470449264
2015-07-26 10:00:00,5484.044270160515
2015-07-27 10:00:00,5495.5793951727155
2015-07-27 16:00:00,5298.94915355668
2015-07-28 06:00:00,4407.6062630671195
2015-07-28 08:30:00,5367.517935536252
2015-07-28 09:00:00,5408.172215139936
2015-07-28 10:00:00,5461.168427267556
2015-07-28 11:30:00,5501.33300837754
2015-07-28 12:00:00,5504.986824591892
2015-07-28 12:30:00,5501.082984261556
2015-07-28 13:00:00,5490.465040621144
2015-07-28 14:00:00,5454.612044729372
2015-07-28 14:30:00,5421.997086860082
2015-07-28 15:00:00,5372.989698236095
2015-07-29 09:00:00,5380.406307075756
2015-07-29 09:30:00,5427.2444356476235
2015-07-29 10:00:00,5446.234018421023
2015-07-29 10:30:00,5450.870983942925
2015-07-29 11:00:00,5461.703462228938
2015-07-29 11:30:00,5479.426911749152
2015-07-29 12:00:00,5455.867337932605
2015-07-29 12:30:00,5459.375403586002
2015-07-29 13:30:00,5419.744537500946
2015-07-29 14:00:00,5408.543063830034
2015-07-29 15:00:00,5323.188860981607
2015-07-29 15:30:00,5233.723388868321
2015-07-29 16:00:00,5163.211456107429
2015-07-30 06:00:00,4234.972928567825
2015-07-30 06:30:00,4689.6082084141235
2015-07-30 07:30:00,5103.856594269571
2015-07-30 08:00:00,5193.98641697066
2015-07-30 09:00:00,5345.650116890812
2015-07-30 09:30:00,5370.23524054795
2015-07-30 10:00:00,5402.042808922382
2015-07-30 10:30:00,5451.581952916678
2015-07-30 11:00:00,5468.379341747849
2015-07-30 11:30:00,5465.0571249438835
2015-07-30 12:00:00,5473.0351618968825
2015-07-30 12:30:00,5461.796220673076
2015-07-30 13:00:00,5451.891844401105
2015-07-30 13:30:00,5423.644631645971
2015-07-30 14:00:00,5375.073400587328
2015-07-30 15:00:00,5263.1974911059715
2015-07-30 15:30:00,5179.967017604745
2015-07-30 16:00:00,5085.703800439
2015-08-01 06:00:00,4150.6495310057135
2015-08-01 07:00:00,4887.087989338582
2015-08-01 07:30:00,5069.49049776318
2015-08-01 08:00:00,5190.832482604727
2015-08-01 08:30:00,5278.286028794566
2015-08-01 11:30:00,5441.120577192323
2015-08-01 12:00:00,5405.045940721157
2015-08-01 13:30:00,5370.297452297296
2015-08-02 11:00:00,5389.355168433705
2015-08-04 13:30:00,5486.660718188676
2015-08-04 14:00:00,5445.243098019239
2015-08-04 14:30:00,5421.456441048386
2015-08-05 06:00:00,4216.877074519635
2015-08-05 06:30:00,4704.816622212769
2015-08-05 07:00:00,4975.8200068207525
2015-08-05 07:30:00,5136.546257315641
2015-08-05 08:30:00,5336.89767866203
2015-08-05 09:00:00,5395.763129765689
2015-08-05 11:00:00,5473.381376735162
2015-08-05 11:30:00,5477.884567422278
2015-08-07 15:30:00,5218.996967079042
2015-08-09 06:30:00,4765.292869498708
2015-08-09 07:00:00,5029.800993155075
2015-08-09 07:30:00,5188.9665906590635
2015-08-09 08:00:00,5293.66688965699
